Java Processes Log
iteration: 170 ; CPU: 7.45% ; MEM: 775.07 MB
iteration: 171 ; CPU: 7.45% ; MEM: 775.07 MB
iteration: 172 ; CPU: 7.46% ; MEM: 775.07 MB
iteration: 173 ; CPU: 7.46% ; MEM: 775.07 MB
iteration: 174 ; CPU: 7.48% ; MEM: 775.07 MB
iteration: 175 ; CPU: 7.31% ; MEM: 775.07 MB
iteration: 176 ; CPU: 7.33% ; MEM: 775.07 MB
iteration: 177 ; CPU: 7.33% ; MEM: 775.07 MB
iteration: 178 ; CPU: 7.35% ; MEM: 775.07 MB
iteration: 179 ; CPU: 7.20% ; MEM: 775.07 MB
iteration: 180 ; CPU: 7.21% ; MEM: 775.07 MB
iteration: 181 ; CPU: 7.21% ; MEM: 775.07 MB
iteration: 182 ; CPU: 7.23% ; MEM: 775.07 MB
iteration: 183 ; CPU: 7.08% ; MEM: 775.07 MB
iteration: 184 ; CPU: 7.08% ; MEM: 775.07 MB
iteration: 185 ; CPU: 7.10% ; MEM: 775.07 MB
iteration: 186 ; CPU: 7.10% ; MEM: 775.07 MB
iteration: 187 ; CPU: 6.98% ; MEM: 775.07 MB
iteration: 188 ; CPU: 6.98% ; MEM: 775.07 MB
iteration: 189 ; CPU: 7.00% ; MEM: 775.07 MB
iteration: 190 ; CPU: 7.00% ; MEM: 775.07 MB
iteration: 191 ; CPU: 6.86% ; MEM: 775.07 MB
iteration: 192 ; CPU: 6.90% ; MEM: 775.07 MB
iteration: 193 ; CPU: 6.91% ; MEM: 775.07 MB
iteration: 194 ; CPU: 6.80% ; MEM: 775.13 MB
iteration: 195 ; CPU: 6.81% ; MEM: 775.13 MB
iteration: 196 ; CPU: 6.81% ; MEM: 775.13 MB
iteration: 197 ; CPU: 6.83% ; MEM: 775.13 MB
iteration: 198 ; CPU: 6.73% ; MEM: 775.13 MB
iteration: 199 ; CPU: 6.73% ; MEM: 775.19 MB
iteration: 200 ; CPU: 6.75% ; MEM: 775.19 MB
iteration: 201 ; CPU: 6.75% ; MEM: 775.19 MB
iteration: 202 ; CPU: 6.63% ; MEM: 775.19 MB
iteration: 203 ; CPU: 6.63% ; MEM: 775.19 MB
iteration: 204 ; CPU: 6.63% ; MEM: 775.19 MB
iteration: 205 ; CPU: 6.65% ; MEM: 775.19 MB
iteration: 206 ; CPU: 6.53% ; MEM: 775.19 MB
iteration: 207 ; CPU: 6.53% ; MEM: 775.19 MB
iteration: 208 ; CPU: 6.53% ; MEM: 775.19 MB
iteration: 209 ; CPU: 6.55% ; MEM: 775.19 MB
iteration: 210 ; CPU: 6.55% ; MEM: 775.19 MB
iteration: 211 ; CPU: 6.43% ; MEM: 775.19 MB
iteration: 212 ; CPU: 6.45% ; MEM: 775.19 MB
iteration: 213 ; CPU: 6.45% ; MEM: 775.34 MB
