ROS Processes Log
iteration: 200 ; CPU: 68.75% ; MEM: 1900.38 MB
iteration: 201 ; CPU: 68.93% ; MEM: 1900.38 MB
iteration: 202 ; CPU: 68.96% ; MEM: 1900.38 MB
iteration: 203 ; CPU: 68.60% ; MEM: 1900.38 MB
iteration: 204 ; CPU: 68.65% ; MEM: 1900.38 MB
iteration: 205 ; CPU: 68.66% ; MEM: 1900.38 MB
iteration: 206 ; CPU: 68.85% ; MEM: 1900.38 MB
iteration: 207 ; CPU: 68.48% ; MEM: 1900.38 MB
iteration: 208 ; CPU: 68.53% ; MEM: 1904.16 MB
iteration: 209 ; CPU: 68.73% ; MEM: 1905.19 MB
iteration: 210 ; CPU: 68.76% ; MEM: 1905.44 MB
iteration: 211 ; CPU: 68.38% ; MEM: 1905.44 MB
iteration: 212 ; CPU: 68.41% ; MEM: 1905.44 MB
iteration: 213 ; CPU: 68.61% ; MEM: 1905.44 MB
iteration: 214 ; CPU: 68.65% ; MEM: 1905.44 MB
iteration: 215 ; CPU: 68.30% ; MEM: 1905.44 MB
iteration: 216 ; CPU: 68.33% ; MEM: 1905.44 MB
iteration: 217 ; CPU: 68.58% ; MEM: 1905.44 MB
iteration: 218 ; CPU: 68.23% ; MEM: 1905.44 MB
iteration: 219 ; CPU: 68.26% ; MEM: 1905.44 MB
iteration: 220 ; CPU: 68.48% ; MEM: 1905.44 MB
iteration: 221 ; CPU: 68.53% ; MEM: 1905.44 MB
iteration: 222 ; CPU: 68.15% ; MEM: 1905.44 MB
iteration: 223 ; CPU: 68.16% ; MEM: 1905.44 MB
iteration: 224 ; CPU: 68.41% ; MEM: 1905.44 MB
iteration: 225 ; CPU: 68.45% ; MEM: 1905.44 MB
iteration: 226 ; CPU: 68.08% ; MEM: 1905.44 MB
iteration: 227 ; CPU: 68.13% ; MEM: 1905.44 MB
iteration: 228 ; CPU: 68.33% ; MEM: 1905.44 MB
iteration: 229 ; CPU: 68.38% ; MEM: 1905.44 MB
